split,date,feature_set,model,seed,auc,brier
1,2025-12-03,base_plus_crowding,tanh_mlp_16_8,9001,0.49523916083916086,0.25369040678717664
1,2025-12-04,base_plus_crowding,tanh_mlp_16_8,9001,0.520727221279004,0.2500844121901603
1,2025-12-05,base_plus_crowding,tanh_mlp_16_8,9001,0.4967020263837889,0.2516522317734563
1,2025-12-08,base_plus_crowding,tanh_mlp_16_8,9001,0.5118271558949525,0.251545993824443
1,2025-12-09,base_plus_crowding,tanh_mlp_16_8,9001,0.5045762172965116,0.2507536542516152
1,2025-12-10,base_plus_crowding,tanh_mlp_16_8,9001,0.48139030669858623,0.2532317027265336
1,2025-12-11,base_plus_crowding,tanh_mlp_16_8,9001,0.5046372337141093,0.254638566780069
1,2025-12-12,base_plus_crowding,tanh_mlp_16_8,9001,0.5527496503496504,0.2496594147422186
1,2025-12-15,base_plus_crowding,tanh_mlp_16_8,9001,0.49602285714285715,0.2511524864055451
1,2025-12-16,base_plus_crowding,tanh_mlp_16_8,9001,0.4561764563459397,0.2552816785923475
1,2025-12-17,base_plus_crowding,tanh_mlp_16_8,9001,0.4684990183830091,0.25193460790388883
1,2025-12-18,base_plus_crowding,tanh_mlp_16_8,9001,0.4513612572911765,0.2533143828241458
1,2025-12-19,base_plus_crowding,tanh_mlp_16_8,9001,0.4249215009730298,0.25828183305683944
1,2025-12-22,base_plus_crowding,tanh_mlp_16_8,9001,0.5063387074548711,0.2540841977821115
1,2025-12-23,base_plus_crowding,tanh_mlp_16_8,9001,0.5722458164300203,0.2553470345594345
1,2025-12-24,base_plus_crowding,tanh_mlp_16_8,9001,0.5494617224880384,0.2513063188342281
1,2025-11-26,base_plus_regime,elastic_logistic_c1_l25,0,0.64936,0.24409871518202858
1,2025-11-28,base_plus_regime,elastic_logistic_c1_l25,0,0.6086550435865504,0.24708179121187163
1,2025-12-01,base_plus_regime,elastic_logistic_c1_l25,0,0.573984375,0.24743560438041007
1,2025-12-02,base_plus_regime,elastic_logistic_c1_l25,0,0.5641251015253841,0.24801920560228907
1,2025-12-03,base_plus_regime,elastic_logistic_c1_l25,0,0.5074013986013985,0.2489166307323485
1,2025-12-04,base_plus_regime,elastic_logistic_c1_l25,0,0.5133465383889833,0.2466474169679331
1,2025-12-05,base_plus_regime,elastic_logistic_c1_l25,0,0.5083865995738701,0.24813576004839702
1,2025-12-08,base_plus_regime,elastic_logistic_c1_l25,0,0.4712586142670888,0.24791779149796464
1,2025-12-09,base_plus_regime,elastic_logistic_c1_l25,0,0.4820925690406977,0.2488188673403666
1,2025-12-10,base_plus_regime,elastic_logistic_c1_l25,0,0.5099823840281856,0.25236365112191844
1,2025-12-11,base_plus_regime,elastic_logistic_c1_l25,0,0.48018524235875276,0.2558301394919012
1,2025-12-12,base_plus_regime,elastic_logistic_c1_l25,0,0.4646153846153846,0.252993533041668
1,2025-12-15,base_plus_regime,elastic_logistic_c1_l25,0,0.5286857142857142,0.24681060685022924
1,2025-12-16,base_plus_regime,elastic_logistic_c1_l25,0,0.45934821558278055,0.24668604333821625
1,2025-12-17,base_plus_regime,elastic_logistic_c1_l25,0,0.5574074328313129,0.24056234268658297
