split,feature_set,model,seed,train_dates,test_dates,train_rows,test_rows,auc,brier,log_loss,ece_10,mean_excess_return,win_rate,mean_turnover,worst_net_return
6,base_only,elastic_logistic_c1_l25,0,370,20,222000,12000,0.5405466720541092,0.24958939964490154,0.692323684417308,0.018027521089417433,0.0018680666232931548,0.25,0.65,-0.015549205514981485
6,base_only,ridge_logistic_c01,0,370,20,222000,12000,0.5405450329291862,0.24958914718998934,0.6923231715816048,0.018034393959606602,0.0018680666232931548,0.25,0.65,-0.015549205514981485
6,base_only,tanh_mlp_16_8,442,370,20,222000,12000,0.5057241298302511,0.25107929072490304,0.6953307593165643,0.02500808443347472,0.001955809652366889,0.75,0.825,-0.01093309707119075
6,base_only,tanh_mlp_16_8,2025,370,20,222000,12000,0.4959548619445644,0.2520341202353963,0.6972904400935401,0.03172235259457044,-0.00409958042000286,0.5,0.8250000000000001,-0.02128369981772569
6,base_only,tanh_mlp_16_8,9001,370,20,222000,12000,0.5030626632457296,0.25099126987800296,0.6951548227624135,0.030606916043857332,0.003950906400536285,0.5,0.775,-0.013989462563376033
6,base_plus_crowding,elastic_logistic_c1_l25,0,370,20,222000,12000,0.5418767524745786,0.2495444515370692,0.692233278396294,0.01893800883581722,0.008055557562979963,0.5,0.7999999999999999,-0.014456947803434204
6,base_plus_crowding,ridge_logistic_c01,0,370,20,222000,12000,0.5417384270001547,0.24954782953031734,0.6922400531112137,0.019025909988775375,0.008055557562979963,0.5,0.7999999999999999,-0.014456947803434206
6,base_plus_crowding,tanh_mlp_16_8,442,370,20,222000,12000,0.5220220045019817,0.25023595175131846,0.6936244852077592,0.029481370287404055,0.019334245424514403,0.75,0.8,-0.02321999001411494
6,base_plus_crowding,tanh_mlp_16_8,2025,370,20,222000,12000,0.5154245822509552,0.2509878577177833,0.6951705446699031,0.02717517574033697,0.019517117049874397,0.5,0.8,-0.014583588101569626
6,base_plus_crowding,tanh_mlp_16_8,9001,370,20,222000,12000,0.5038657511126047,0.25155374805971586,0.6963119781955122,0.03576708071496221,0.02153360285699454,0.75,0.875,-0.008894028970025272
6,base_plus_regime,elastic_logistic_c1_l25,0,370,20,222000,12000,0.5375249035861165,0.24963305509681202,0.6924108750037784,0.018662839196026328,-0.003014198574595995,0.25,0.625,-0.02368656330010083
6,base_plus_regime,ridge_logistic_c01,0,370,20,222000,12000,0.5374373909843018,0.24963229802927114,0.6924093685409257,0.018500837223645348,-0.003014198574595995,0.25,0.625,-0.023686563300100834
6,base_plus_regime,tanh_mlp_16_8,442,370,20,222000,12000,0.5152531131149553,0.25063101829044804,0.6944352343410133,0.022354368797933816,0.00999818106084582,0.5,0.875,-0.015137250669307295
6,base_plus_regime,tanh_mlp_16_8,2025,370,20,222000,12000,0.5129005799057287,0.2515708812408937,0.6963655352207904,0.028040268009577755,0.01345354468148439,0.75,0.875,-0.02654395364693008
6,base_plus_regime,tanh_mlp_16_8,9001,370,20,222000,12000,0.5171949760765551,0.25034619107319733,0.6938495317290004,0.021676212035951357,0.027119082182911404,0.5,0.875,-0.023583766136874802
6,graph_survivors,elastic_logistic_c1_l25,0,370,20,222000,12000,0.5377575481980517,0.24958249298664675,0.6923086210976068,0.01987807218225799,0.002292166482531011,0.5,0.7999999999999999,-0.020843004992569185
6,graph_survivors,ridge_logistic_c01,0,370,20,222000,12000,0.5377047628191793,0.2495839811459912,0.692311604820244,0.019793165262109273,0.0030477424093247668,0.5,0.7999999999999999,-0.01782070128539416
6,graph_survivors,tanh_mlp_16_8,442,370,20,222000,12000,0.5154679218251872,0.25114893743488037,0.6955187165194218,0.020892794797703392,0.01058531712336824,0.75,0.8500000000000001,-0.04234719396450814
6,graph_survivors,tanh_mlp_16_8,2025,370,20,222000,12000,0.515450002578149,0.25143141254735407,0.6960810791153996,0.031653173218657925,0.0023638525440296317,0.25,0.825,-0.03311931006571402
6,graph_survivors,tanh_mlp_16_8,9001,370,20,222000,12000,0.5035945453923143,0.25240153535348486,0.698051306026546,0.039284739243586254,0.008925233821144494,0.5,0.8500000000000001,-0.015238898715519655
